Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2444.546	0.000000	0.000
ENST00000335137.4	1054	880.546	0.000000	0.000
ENST00000426406.3	995	821.546	0.000000	0.000
ENST00000420190.6	1578	1404.546	0.000000	0.000
ENST00000437963.5	387	215.354	0.000000	0.000
ENST00000342066.8	2557	2383.546	0.000000	0.000
ENST00000618181.4	2179	2005.546	0.000000	0.000
ENST00000622503.4	2557	2383.546	0.000000	0.000
ENST00000618323.4	2159	1985.546	0.000000	0.000
ENST00000616016.4	2391	2217.546	0.000000	0.000
ENST00000618779.4	2368	2194.546	0.000000	0.000
ENST00000616125.4	2230	2056.546	0.000000	0.000
ENST00000620200.4	1874	1700.546	0.000000	0.000
ENST00000617307.4	2314	2140.546	0.000000	0.000
ENST00000341065.8	2191	2017.546	0.000000	0.000
ENST00000455979.1	1731	1557.546	0.000000	0.000
ENST00000327044.7	2757	2583.546	7.675061	764.589
ENST00000338591.8	2567	2393.546	0.383202	35.367
ENST00000622660.1	1950	1776.546	0.245992	16.851
ENST00000379410.8	3176	3002.546	1.257866	145.631
ENST00000379409.6	2455	2281.546	0.300054	26.397
ENST00000379407.7	2194	2020.546	0.346186	26.972
ENST00000491024.1	698	524.571	0.000000	0.000
ENST00000341290.6	3035	2861.546	0.000000	0.000
ENST00000433179.3	3340	3166.546	0.000000	0.000
ENST00000428771.6	1040	866.546	1.020283	34.091
ENST00000304952.10	899	725.550	14.459986	404.543
ENST00000484667.2	667	493.579	0.924958	17.604
ENST00000624697.4	787	613.558	0.153018	3.620
ENST00000624652.1	657	483.585	0.000000	0.000
ENST00000649529.1	637	463.595	2603.033830	46531.645
ENST00000379370.7	7326	7152.546	32.694381	9017.038
ENST00000620552.4	7394	7220.546	0.377607	105.133
ENST00000652369.1	7408	7234.546	0.000000	0.000
ENST00000651234.1	7477	7303.546	0.000000	0.000
ENST00000453464.3	1900	1726.546	0.000000	0.000
ENST00000379339.5	2429	2255.546	0.042803	3.723
ENST00000421241.6	1841	1667.546	1.540429	99.049
ENST00000379320.5	2324	2150.546	0.029582	2.453
ENST00000379319.5	1097	923.546	0.000000	0.000
ENST00000434641.5	842	668.552	0.090675	2.338
ENST00000462097.5	836	662.552	0.000000	0.000
ENST00000475119.5	740	566.564	0.182820	3.994
ENST00000442117.5	554	380.675	0.000000	0.000
ENST00000427787.5	575	401.641	0.000000	0.000
ENST00000480643.1	579	405.638	0.000000	0.000
ENST00000379290.6	2307	2133.546	0.000000	0.000
ENST00000379289.6	2288	2114.546	0.000000	0.000
ENST00000673999.1	568	394.651	0.000000	0.000
