Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2434.831	0.000000	0.000
ENST00000335137.4	1054	870.831	0.000000	0.000
ENST00000426406.3	995	811.832	0.000000	0.000
ENST00000420190.6	1578	1394.831	0.000000	0.000
ENST00000437963.5	387	208.308	0.000000	0.000
ENST00000342066.8	2557	2373.831	0.000000	0.000
ENST00000618181.4	2179	1995.831	0.000000	0.000
ENST00000622503.4	2557	2373.831	0.000000	0.000
ENST00000618323.4	2159	1975.831	0.000000	0.000
ENST00000616016.4	2391	2207.831	0.211633	11.000
ENST00000618779.4	2368	2184.831	0.000000	0.000
ENST00000616125.4	2230	2046.831	0.000000	0.000
ENST00000620200.4	1874	1690.831	0.000000	0.000
ENST00000617307.4	2314	2130.831	0.000000	0.000
ENST00000341065.8	2191	2007.831	0.000000	0.000
ENST00000455979.1	1731	1547.831	0.000000	0.000
ENST00000327044.7	2757	2573.831	18.364350	1112.754
ENST00000338591.8	2567	2383.831	0.654699	36.742
ENST00000622660.1	1950	1766.831	0.829644	34.509
ENST00000379410.8	3176	2992.831	0.197015	13.881
ENST00000379409.6	2455	2271.831	0.039616	2.119
ENST00000379407.7	2194	2010.831	0.000000	0.000
ENST00000491024.1	698	514.927	0.000000	0.000
ENST00000341290.6	3035	2851.831	0.000000	0.000
ENST00000433179.3	3340	3156.831	0.000000	0.000
ENST00000428771.6	1040	856.831	0.000000	0.000
ENST00000304952.10	899	715.851	0.473132	7.973
ENST00000484667.2	667	483.970	0.000000	0.000
ENST00000624697.4	787	603.882	0.000000	0.000
ENST00000624652.1	657	473.984	0.000000	0.000
ENST00000649529.1	637	454.019	14.127317	151.000
ENST00000379370.7	7326	7142.831	3.784915	636.459
ENST00000620552.4	7394	7210.831	0.180074	30.569
ENST00000652369.1	7408	7224.831	0.000000	0.000
ENST00000651234.1	7477	7293.831	0.000000	0.000
ENST00000453464.3	1900	1716.831	0.024742	1.000
ENST00000379339.5	2429	2245.831	0.341203	18.040
ENST00000421241.6	1841	1657.831	0.818142	31.931
ENST00000379320.5	2324	2140.831	0.000000	0.000
ENST00000379319.5	1097	913.831	0.000000	0.000
ENST00000434641.5	842	658.864	0.000000	0.000
ENST00000462097.5	836	652.868	0.096349	1.481
ENST00000475119.5	740	556.898	0.219991	2.884
ENST00000442117.5	554	371.349	0.000000	0.000
ENST00000427787.5	575	392.234	0.000000	0.000
ENST00000480643.1	579	396.208	0.000000	0.000
ENST00000379290.6	2307	2123.831	0.000000	0.000
ENST00000379289.6	2288	2104.831	0.000000	0.000
ENST00000673999.1	568	385.272	0.000000	0.000
ENST00000379288.3	2114	1930.831	0.000000	0.000
ENST00000328596.10	851	667.862	0.000000	0.000
ENST00000379268.7	1083	899.831	0.330441	7.000
ENST00000486728.5	727	543.903	0.000000	0.000
ENST00000379265.5	705	521.921	0.000000	0.000
ENST00000379236.4	1075	891.831	3.682325	77.312
ENST00000360001.11	1956	1772.831	33.056147	1379.632
ENST00000660930.1	2137	1953.831	0.713557	32.822
ENST00000263741.12	2079	1895.831	4.763528	212.604
ENST00000655486.1	1089	905.831	141.503273	3017.571
ENST00000403997.2	728	544.903	0.000000	0.000
ENST00000379198.5	2805	2621.831	5.621874	347.000
ENST00000330388.2	1036	852.831	0.000000	0.000
ENST00000347370.6	2387	2203.831	2.862205	148.499
ENST00000349431.10	1733	1549.831	10.100792	368.539
