Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2440.249	0.000000	0.000
ENST00000335137.4	1054	876.249	0.000000	0.000
ENST00000426406.3	995	817.249	0.000000	0.000
ENST00000420190.6	1578	1400.249	0.000000	0.000
ENST00000437963.5	387	211.166	0.000000	0.000
ENST00000342066.8	2557	2379.249	0.000000	0.000
ENST00000618181.4	2179	2001.249	0.000000	0.000
ENST00000622503.4	2557	2379.249	0.000000	0.000
ENST00000618323.4	2159	1981.249	0.000000	0.000
ENST00000616016.4	2391	2213.249	0.000000	0.000
ENST00000618779.4	2368	2190.249	0.000000	0.000
ENST00000616125.4	2230	2052.249	0.000000	0.000
ENST00000620200.4	1874	1696.249	0.000000	0.000
ENST00000617307.4	2314	2136.249	0.000000	0.000
ENST00000341065.8	2191	2013.249	0.000000	0.000
ENST00000455979.1	1731	1553.249	0.000000	0.000
ENST00000327044.7	2757	2579.249	16.399895	678.243
ENST00000338591.8	2567	2389.249	1.104020	42.295
ENST00000622660.1	1950	1772.249	1.085707	30.852
ENST00000379410.8	3176	2998.249	0.591064	28.415
ENST00000379409.6	2455	2277.249	0.180348	6.585
ENST00000379407.7	2194	2016.249	0.000000	0.000
ENST00000491024.1	698	520.309	0.000000	0.000
ENST00000341290.6	3035	2857.249	0.021827	1.000
ENST00000433179.3	3340	3162.249	0.000000	0.000
ENST00000428771.6	1040	862.249	4.493350	62.123
ENST00000304952.10	899	721.258	5.449138	63.019
ENST00000484667.2	667	489.320	1.624521	12.746
ENST00000624697.4	787	609.289	0.000000	0.000
ENST00000624652.1	657	479.321	0.841951	6.471
ENST00000649529.1	637	459.329	3844.842285	28317.429
ENST00000379370.7	7326	7148.249	57.705474	6614.054
ENST00000620552.4	7394	7216.249	0.467601	54.105
ENST00000652369.1	7408	7230.249	0.162211	18.806
ENST00000651234.1	7477	7299.249	0.000000	0.000
ENST00000453464.3	1900	1722.249	0.000000	0.000
ENST00000379339.5	2429	2251.249	0.117479	4.241
ENST00000421241.6	1841	1663.249	1.248120	33.286
ENST00000379320.5	2324	2146.249	0.000000	0.000
ENST00000379319.5	1097	919.249	0.000000	0.000
ENST00000434641.5	842	664.275	0.000000	0.000
ENST00000462097.5	836	658.278	0.000000	0.000
ENST00000475119.5	740	562.298	0.000000	0.000
ENST00000442117.5	554	376.428	0.000000	0.000
ENST00000427787.5	575	397.389	0.000000	0.000
ENST00000480643.1	579	401.385	0.000000	0.000
ENST00000379290.6	2307	2129.249	0.000000	0.000
ENST00000379289.6	2288	2110.249	0.000000	0.000
ENST00000673999.1	568	390.397	0.000000	0.000
ENST00000379288.3	2114	1936.249	0.000000	0.000
ENST00000328596.10	851	673.273	0.000000	0.000
ENST00000379268.7	1083	905.249	1.381057	20.046
ENST00000486728.5	727	549.300	0.000000	0.000
ENST00000379265.5	705	527.305	0.000000	0.000
ENST00000379236.4	1075	897.249	29.091198	418.529
ENST00000360001.11	1956	1778.249	95.195048	2714.300
ENST00000660930.1	2137	1959.249	6.549743	205.762
ENST00000263741.12	2079	1901.249	0.000000	0.000
ENST00000655486.1	1089	911.249	82.368888	1203.514
ENST00000403997.2	728	550.300	0.252702	2.230
ENST00000379198.5	2805	2627.249	9.364701	394.499
ENST00000330388.2	1036	858.249	0.218000	3.000
ENST00000347370.6	2387	2209.249	3.488585	123.579
ENST00000349431.10	1733	1555.249	12.664793	315.827
ENST00000400929.6	1057	879.249	0.000000	0.000
ENST00000360466.6	1047	869.249	0.000000	0.000
ENST00000400930.8	1021	843.249	1.378201	18.635
ENST00000435198.5	1056	878.249	0.816485	11.498
ENST00000509720.5	472	294.756	0.000000	0.000
ENST00000422076.5	643	465.328	0.000000	0.000
ENST00000502382.1	530	352.478	0.000000	0.000
ENST00000488418.2	750	572.297	0.981199	9.004
ENST00000379116.10	3050	2872.249	0.000000	0.000
ENST00000338555.6	3475	3297.249	0.094573	5.000
ENST00000400928.7	2731	2553.249	0.000000	0.000
ENST00000470022.1	645	467.327	0.000000	0.000
ENST00000325425.12	2679	2501.249	0.000000	0.000
ENST00000379099.3	923	745.255	0.000000	0.000
ENST00000354700.10	3793	3615.249	4.391358	254.559
ENST00000353662.4	2280	2102.249	0.000000	0.000
ENST00000379031.10	1257	1079.249	4.074049	70.502
ENST00000467712.1	877	699.262	0.000000	0.000
ENST00000540437.5	2629	2451.249	0.000000	0.000
ENST00000545578.5	2263	2085.249	0.000000	0.000
ENST00000620829.4	1862	1684.249	0.000000	0.000
ENST00000618806.4	1523	1345.249	0.000000	0.000
ENST00000435064.5	2148	1970.249	16.240825	513.074
ENST00000411962.5	1832	1654.249	0.000000	0.000
ENST00000421495.6	1868	1690.249	0.000000	0.000
