Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2441.741	0.000000	0.000
ENST00000335137.4	1054	877.741	0.000000	0.000
ENST00000426406.3	995	818.741	0.043859	1.500
ENST00000420190.6	1578	1401.741	0.000000	0.000
ENST00000437963.5	387	212.917	0.000000	0.000
ENST00000342066.8	2557	2380.741	0.000000	0.000
ENST00000618181.4	2179	2002.741	0.034960	2.925
ENST00000622503.4	2557	2380.741	0.000000	0.000
ENST00000618323.4	2159	1982.741	0.000000	0.000
ENST00000616016.4	2391	2214.741	0.000000	0.000
ENST00000618779.4	2368	2191.741	0.000000	0.000
ENST00000616125.4	2230	2053.741	0.000000	0.000
ENST00000620200.4	1874	1697.741	0.000000	0.000
ENST00000617307.4	2314	2137.741	0.000000	0.000
ENST00000341065.8	2191	2014.741	0.000000	0.000
ENST00000455979.1	1731	1554.741	0.020214	1.313
ENST00000327044.7	2757	2580.741	10.825010	1166.977
ENST00000338591.8	2567	2390.741	0.732886	73.191
ENST00000622660.1	1950	1773.741	0.387848	28.737
ENST00000379410.8	3176	2999.741	0.109906	13.772
ENST00000379409.6	2455	2278.741	0.097465	9.278
ENST00000379407.7	2194	2017.741	0.058734	4.950
ENST00000491024.1	698	521.781	0.000000	0.000
ENST00000341290.6	3035	2858.741	0.000000	0.000
ENST00000433179.3	3340	3163.741	0.000000	0.000
ENST00000428771.6	1040	863.741	0.000000	0.000
ENST00000304952.10	899	722.748	0.000000	0.000
ENST00000484667.2	667	490.789	0.000000	0.000
ENST00000624697.4	787	610.761	0.000000	0.000
ENST00000624652.1	657	480.791	0.000000	0.000
ENST00000649529.1	637	460.798	9.974733	192.000
ENST00000379370.7	7326	7149.741	8.278109	2472.356
ENST00000620552.4	7394	7217.741	0.080414	24.245
ENST00000652369.1	7408	7231.741	0.051966	15.698
ENST00000651234.1	7477	7300.741	0.000000	0.000
ENST00000453464.3	1900	1723.741	0.000000	0.000
ENST00000379339.5	2429	2252.741	0.000000	0.000
ENST00000421241.6	1841	1664.741	1.049666	72.994
ENST00000379320.5	2324	2147.741	0.000000	0.000
ENST00000379319.5	1097	920.741	0.000000	0.000
ENST00000434641.5	842	665.753	0.000000	0.000
ENST00000462097.5	836	659.755	0.000000	0.000
