Name	Length	EffectiveLength	TPM	NumReads
ENST00000641515.2	2618	2432.496	0.000000	0.000
ENST00000335137.4	1054	868.496	0.000000	0.000
ENST00000426406.3	995	809.497	0.000000	0.000
ENST00000420190.6	1578	1392.496	0.000000	0.000
ENST00000437963.5	387	206.388	0.000000	0.000
ENST00000342066.8	2557	2371.496	0.000000	0.000
ENST00000618181.4	2179	1993.496	0.000000	0.000
ENST00000622503.4	2557	2371.496	0.000000	0.000
ENST00000618323.4	2159	1973.496	0.000000	0.000
ENST00000616016.4	2391	2205.496	0.000000	0.000
ENST00000618779.4	2368	2182.496	0.000000	0.000
ENST00000616125.4	2230	2044.496	0.000000	0.000
ENST00000620200.4	1874	1688.496	0.000000	0.000
ENST00000617307.4	2314	2128.496	0.000000	0.000
ENST00000341065.8	2191	2005.496	0.000000	0.000
ENST00000455979.1	1731	1545.496	0.000000	0.000
ENST00000327044.7	2757	2571.496	16.340099	1162.887
ENST00000338591.8	2567	2381.496	0.417696	27.530
ENST00000622660.1	1950	1764.496	1.095527	53.498
ENST00000379410.8	3176	2990.496	0.880145	72.844
ENST00000379409.6	2455	2269.496	0.218342	13.714
ENST00000379407.7	2194	2008.496	0.205840	11.442
ENST00000491024.1	698	512.611	0.000000	0.000
ENST00000341290.6	3035	2849.496	0.000000	0.000
ENST00000433179.3	3340	3154.496	0.000000	0.000
ENST00000428771.6	1040	854.496	0.164407	3.888
ENST00000304952.10	899	713.529	0.967946	19.114
ENST00000484667.2	667	481.650	0.000000	0.000
ENST00000624697.4	787	601.571	0.000000	0.000
ENST00000624652.1	657	471.666	0.000000	0.000
ENST00000649529.1	637	451.704	66.553695	832.000
ENST00000379370.7	7326	7140.496	3.688338	728.880
ENST00000620552.4	7394	7208.496	0.000000	0.000
ENST00000652369.1	7408	7222.496	0.000000	0.000
ENST00000651234.1	7477	7291.496	0.000000	0.000
ENST00000453464.3	1900	1714.496	0.063239	3.001
ENST00000379339.5	2429	2243.496	0.130479	8.101
ENST00000421241.6	1841	1655.496	1.641806	75.222
ENST00000379320.5	2324	2138.496	0.000000	0.000
ENST00000379319.5	1097	911.496	0.000000	0.000
ENST00000434641.5	842	656.547	0.000000	0.000
ENST00000462097.5	836	650.550	0.000000	0.000
ENST00000475119.5	740	554.589	0.084702	1.300
ENST00000442117.5	554	369.033	0.000000	0.000
ENST00000427787.5	575	389.923	0.000000	0.000
ENST00000480643.1	579	393.906	0.000000	0.000
ENST00000379290.6	2307	2121.496	0.000000	0.000
ENST00000379289.6	2288	2102.496	0.000000	0.000
